Size,Bubblesort,Insertionsort,Quicksort,Mergesort,Heapsort,Linearsearch,Binarysearch
10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2010,0.000000,0.000000,0.000000,0.000150,0.000000,0.000000,0.000000
3010,0.000000,0.000000,0.000310,0.000150,0.000000,0.000000,0.000000
4010,0.000000,0.000000,0.000470,0.000460,0.000000,0.000000,0.000000
5010,0.000000,0.000000,0.000620,0.000470,0.000000,0.000000,0.000000
6010,0.000000,0.000000,0.000950,0.000760,0.000000,0.000000,0.000000
7010,0.000000,0.000000,0.001180,0.001090,0.000000,0.000000,0.000000
8010,0.000000,0.000000,0.001420,0.001410,0.000000,0.000000,0.000000
9010